9,10,12,15,20,29,30,16
4,7,9,10,12,24,32,15
9,12,22,24,31,32,34,10
3,7,13,18,21,25,32,18
6,9,12,15,20,21,34,15
4,10,11,16,18,23,24,6
1,8,11,12,16,18,28,15
4,7,8,20,23,29,32,17
2,6,8,10,21,27,30,9
5,6,7,8,12,16,17,13
4,6,16,18,20,28,31,6
9,12,16,17,19,20,22,9
6,8,9,12,13,21,30,4
5,8,9,12,18,33,34,6
1,11,17,20,23,30,32,16
2,6,9,17,25,26,32,4
2,3,5,14,18,20,30,4
2,3,10,20,22,33,35,9
4,6,8,18,28,29,34,11
1,2,9,12,13,14,18,3
1,3,6,12,16,18,32,4
2,4,5,7,13,23,25,16
3,17,20,28,29,32,34,18
9,18,22,23,31,34,35,1
4,6,20,21,24,25,30,2
1,7,10,19,20,25,31,11
6,9,15,18,19,29,34,4
3,7,10,12,13,24,25,11
5,15,24,27,30,32,35,2
2,4,6,8,20,24,30,10
3,5,13,24,25,31,33,17
5,6,7,12,27,28,33,4
5,10,15,18,19,34,35,20
6,7,12,16,20,25,26,2
1,12,23,26,32,33,35,10
1,4,6,9,21,26,27,10
17,20,21,22,24,31,34,6
2,5,16,25,30,32,34,7
21,22,27,30,31,33,34,4
9,11,15,16,24,27,35,1
13,14,20,22,25,34,35,12
2,4,6,8,18,22,30,2
4,6,15,17,23,31,33,15
1,2,11,19,23,30,34,4
4,7,23,31,32,33,35,5
1,7,8,11,29,31,32,16
5,15,23,29,30,34,35,2
6,8,11,12,22,23,30,15
4,9,11,16,22,31,35,20
1,3,4,6,7,24,26,18
1,6,10,20,21,31,35,13
3,4,8,11,14,19,22,5
2,3,14,15,26,27,28,19
4,10,12,13,18,20,23,5
2,5,6,10,17,19,31,10
11,14,18,20,24,27,29,19
6,10,14,27,31,32,35,6
3,8,11,17,18,20,33,7
10,12,17,21,24,26,30,10
9,10,11,16,18,23,24,9
1,7,13,18,23,25,33,7
4,14,16,18,19,22,33,18
4,7,9,14,27,29,32,17
3,11,17,19,27,29,30,15
7,10,12,16,17,20,28,20
1,3,5,8,18,24,28,2
3,4,5,6,14,22,23,17
2,9,11,13,20,25,31,2
12,15,17,20,21,22,28,11
6,14,19,23,28,31,34,3
8,12,17,20,27,29,30,6
3,6,7,11,19,20,33,18
3,8,9,12,15,18,28,14
2,13,18,20,31,34,35,9
6,16,19,27,28,30,33,17
1,12,13,18,24,30,32,6
5,12,15,19,27,29,33,4
6,12,17,21,24,30,33,10
5,6,7,11,12,13,35,15
